Simulation Number,comboID,Your revenue,Perfect foresight strategy,Difference (%)
415,414,64626,74556,13.3
416,415,99186,120000,17.3
417,416,91062,105936,14.0
418,417,83076,87756,5.3
419,418,87156,106062,17.8
420,419,100914,101016,0.1
421,420,41700,53304,21.8
422,421,102024,117744,13.4
423,422,95340,99636,4.3
424,423,86982,89370,2.7
425,424,98160,113976,13.9
426,425,90672,100932,10.2
427,426,86160,95580,9.9
428,427,93804,118320,20.7
429,428,83772,90672,7.6
430,429,84186,104178,19.2
431,430,48264,60168,19.8
432,431,99966,102246,2.2
433,432,100458,110496,9.1
434,433,97074,104820,7.4
435,434,100962,113790,11.3
436,435,94608,106800,11.4
437,436,88854,100638,11.7
438,437,87354,101940,14.3
439,438,89808,114972,21.9
440,439,89952,117714,23.6
441,440,82650,102552,19.4
442,441,76992,82176,6.3
443,442,98916,106374,7.0
444,443,99612,116244,14.3
445,444,95172,98064,2.9
446,445,99996,109194,8.4
447,446,98316,112758,12.8
448,447,91644,101724,9.9
449,448,90240,102894,12.3
450,449,84624,98604,14.2
451,450,87552,107694,18.7
452,451,81636,96576,15.5
453,452,84156,107904,22.0
454,453,78804,95220,17.2
455,454,77400,90912,14.9
456,455,83406,97932,14.8
457,456,72006,88596,18.7
458,457,106152,107814,1.5
459,458,88962,99132,10.3
460,459,67116,83436,19.6
461,460,93402,99558,6.2
462,461,102096,104340,2.2
463,462,109584,120000,8.7
464,463,86724,95808,9.5
465,464,40068,52992,24.4
466,465,96426,101154,4.7
467,466,103320,106698,3.2
468,467,100464,102978,2.4
469,468,87264,94314,7.5
470,469,93528,98592,5.1
471,470,105060,108156,2.9
472,471,66132,80256,17.6
473,472,106476,112626,5.5
474,473,104778,111504,6.0
475,474,99954,111858,10.6
476,475,97638,109980,11.2
477,476,104658,115230,9.2
478,477,62544,77844,19.7
479,478,81732,90732,9.9
480,479,96060,100872,4.8
481,480,64914,77124,15.8
482,481,82242,86994,5.5
483,482,98778,118602,16.7
484,483,80556,91080,11.6
485,484,92304,98532,6.3
486,485,95574,99246,3.7
487,486,100194,109158,8.2
488,487,91614,95940,4.5
489,488,98946,111402,11.2
490,489,87420,92964,6.0
491,490,84576,89448,5.4
492,491,104184,118560,12.1
493,492,91626,96972,5.5
494,493,74010,83304,11.2
495,494,103332,112734,8.3
496,495,95640,103230,7.4
497,496,91824,101628,9.6
498,497,77346,83988,7.9
499,498,85728,97704,12.3
500,499,89418,108666,17.7
501,500,101118,102666,1.5
502,501,80640,89736,10.1
503,502,57474,70632,18.6
504,503,95178,103710,8.2
505,504,74424,81828,9.0
506,505,89472,99444,10.0
507,506,90930,105084,13.5
508,507,87084,94416,7.8
509,508,91452,116064,21.2
510,509,86352,108816,20.6
511,510,65784,78336,16.0
512,511,98436,99594,1.2
513,512,103662,120000,13.6
514,513,95070,103248,7.9
515,514,87540,89040,1.7
516,515,58674,69300,15.3
517,516,29640,34140,13.2
518,517,86304,96744,10.8
519,518,91446,113934,19.7
520,519,26808,29712,9.8
521,520,80616,94296,14.5
522,521,57732,72360,20.2
523,522,86880,91152,4.7
524,523,96804,98964,2.2
525,524,97800,107382,8.9
526,525,100752,114246,11.8
527,526,94356,107754,12.4
528,527,91326,106206,14.0
529,528,85764,96792,11.4
530,529,84744,100122,15.4
531,530,88614,117150,24.4
532,531,82698,99924,17.2
533,532,83616,118770,29.6
534,533,99204,113388,12.5
535,534,99474,115314,13.7
536,535,99276,110448,10.1
537,536,94752,100614,5.8
538,537,97656,105162,7.1
539,538,91758,101076,9.2
540,539,56376,64728,12.9
541,540,91668,110838,17.3
542,541,90348,108294,16.6
543,542,32700,35652,8.3
544,543,87126,113166,23.0
545,544,78768,83412,5.6
546,545,82314,116082,29.1
547,546,98088,105444,7.0
548,547,98880,103710,4.7
549,548,98616,105702,6.7
550,549,99336,114072,12.9
551,550,66060,74832,11.7
552,551,82368,84756,2.8
553,552,95184,114378,16.8
554,553,84888,96900,12.4
555,554,93492,120000,22.1
556,555,80124,88260,9.2
557,556,79716,92340,13.7
558,557,84312,120000,29.7
559,558,76956,89364,13.9
560,559,78672,120000,34.4
561,560,108732,114918,5.4
562,561,105114,106596,1.4
563,562,64740,81240,20.3
564,563,91344,99762,8.4
565,564,104370,107256,2.7
566,565,108816,115068,5.4
567,566,106752,107796,1.0
568,567,108732,118836,8.5
569,568,90420,98412,8.1
570,569,79158,88692,10.7
571,570,40170,53436,24.8
572,571,75798,88272,14.1
573,572,99684,101640,1.9
574,573,93744,98424,4.8
575,574,45024,57912,22.3
576,575,82302,92766,11.3
577,576,94674,99192,4.6
578,577,98904,102318,3.3
579,578,96186,101754,5.5
580,579,62484,75132,16.8
581,580,70284,80964,13.2
582,581,103596,109824,5.7
583,582,88662,96768,8.4
584,583,105084,110802,5.2
585,584,105828,117036,9.6
586,585,99786,108918,8.4
587,586,90102,97548,7.6
588,587,87882,95088,7.6
589,588,102192,104124,1.9
590,589,99618,102246,2.6
591,590,105204,120000,12.3
592,591,105138,119160,11.8
593,592,94728,103380,8.4
594,593,103704,118374,12.4
595,594,83952,88104,4.7
596,595,55518,65184,14.8
597,596,101106,109692,7.8
598,597,74574,83706,10.9
599,598,97716,103464,5.6
600,599,102648,115056,10.8
601,600,60306,73716,18.2
602,601,90354,96000,5.9
603,602,88854,99042,10.3
604,603,88098,96744,8.9
605,604,51528,59520,13.4
606,605,100590,106152,5.2
607,606,101982,114762,11.1
608,607,95676,97788,2.2
609,608,67194,76536,12.2
610,609,102306,116172,11.9
611,610,89652,97638,8.2
612,611,84942,86808,2.1
613,612,93270,113580,17.9
614,613,85794,100110,14.3
615,614,82674,86610,4.5
616,615,101322,118986,14.8
617,616,65142,77076,15.5
618,617,101460,120000,15.4
619,618,100632,108444,7.2
620,619,81096,85608,5.3
621,620,91926,101148,9.1
622,621,95490,116880,18.3
623,622,65562,73536,10.8
624,623,84120,90144,6.7
625,624,85836,105606,18.7
626,625,89544,117216,23.6
627,626,70206,80328,12.6
628,627,100752,119130,15.4
629,628,101892,120000,15.1
630,629,100026,111762,10.5
631,630,96468,108582,11.2
632,631,89796,100794,10.9
633,632,100296,120000,16.4
634,633,85740,98112,12.6
635,634,87366,106656,18.1
636,635,70350,75312,6.6
637,636,84738,100584,15.8
638,637,78966,82644,4.5
639,638,98676,110892,11.0
640,639,96744,98832,2.1
641,640,96672,101646,4.9
642,641,87456,90084,2.9
643,642,86526,88584,2.3
644,643,70764,77604,8.8
645,644,91578,104556,12.4
646,645,89508,106164,15.7
647,646,17850,19488,8.4
648,647,64590,69888,7.6
649,648,83130,104688,20.6
650,649,78966,89256,11.5
651,650,80046,113526,29.5
652,651,98040,109602,10.5
653,652,97890,105354,7.1
654,653,99270,120000,17.3
655,654,98622,115170,14.4
656,655,97212,107796,9.8
657,656,90150,100398,10.2
658,657,87738,102804,14.7
659,658,90780,109506,17.1
660,659,89184,110100,19.0
661,660,84654,107106,21.0
662,661,84528,109098,22.5
663,662,82026,109530,25.1
664,663,81600,120000,32.0
665,664,74598,86064,13.3
666,665,97200,108042,10.0
667,666,94560,97986,3.5
668,667,85464,87252,2.0
669,668,97284,110166,11.7
670,669,97620,120000,18.6
671,670,97812,120000,18.5
672,671,87804,100578,12.7
673,672,90252,107814,16.3
674,673,87684,105012,16.5
675,674,81384,87480,7.0
676,675,85176,111132,23.4
677,676,49272,50664,2.7
678,677,76104,94992,19.9
679,678,75372,108018,30.2
680,679,74064,98454,24.8
